,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS,DIFF (%),PROFIT $
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME,DIFF (%),PROFIT $
58,MSFT,83, $139.14 ,"September 23, 2019 at 12:00:00 AM",MSFT,83, $137.50 ,"September 25, 2019 at 12:00:00 AM",-1.178668533,-136.1199493
59,QCOM,148, $77.26 ,"September 25, 2019 at 12:00:00 AM",QCOM,148, $77.16 ,"September 26, 2019 at 12:00:00 AM",-0.129431105,-14.79977417
60,MSFT,82, $139.54 ,"September 26, 2019 at 12:00:00 AM",MSFT,82, $138.05 ,"September 30, 2019 at 12:00:00 AM",-1.067787234,-122.1791992
61,QCOM,148, $76.28 ,"September 30, 2019 at 12:00:00 AM",QCOM,148, $75.26 ,"October 02, 2019 at 12:00:00 AM",-1.337174435,-150.9595032
62,MSFT,83, $134.65 ,"October 02, 2019 at 12:00:00 AM",MSFT,83, $144.40 ,"October 28, 2019 at 12:00:00 AM",7.240995501,809.25
63,QCOM,144, $83.05 ,"October 28, 2019 at 12:00:00 AM",QCOM,144, $82.75 ,"October 29, 2019 at 12:00:00 AM",-0.361231837,-43.20043945
64,QCOM,146, $81.66 ,"October 29, 2019 at 12:00:00 AM",QCOM,146, $81.44 ,"October 31, 2019 at 12:00:00 AM",-0.269411231,-32.12017822
65,QCOM,148, $80.44 ,"October 31, 2019 at 12:00:00 AM",QCOM,148, $85.20 ,"November 05, 2019 at 12:00:00 AM",5.917446994,704.479187
66,AAPL,196, $64.28 ,"November 05, 2019 at 12:00:00 AM",AAPL,196, $64.19 ,"November 06, 2019 at 12:00:00 AM",-0.140013169,-17.64077759
67,QCOM,149, $84.63 ,"November 06, 2019 at 12:00:00 AM",QCOM,149, $89.83 ,"November 07, 2019 at 12:00:00 AM",6.14439885,774.8006821
68,AAPL,206, $64.86 ,"November 07, 2019 at 12:00:00 AM",AAPL,206, $64.67 ,"November 08, 2019 at 12:00:00 AM",-0.285236964,-38.10949707
69,QCOM,142, $94.03 ,"November 08, 2019 at 12:00:00 AM",QCOM,142, $91.71 ,"November 11, 2019 at 12:00:00 AM",-2.467297378,-329.4399567
70,QCOM,141, $91.84 ,"November 11, 2019 at 12:00:00 AM",QCOM,141, $90.70 ,"November 13, 2019 at 12:00:00 AM",-1.241288584,-160.7399139
71,AAPL,194, $66.12 ,"November 13, 2019 at 12:00:00 AM",AAPL,194, $65.94 ,"November 14, 2019 at 12:00:00 AM",-0.272243059,-34.9200592
72,AAPL,195, $65.66 ,"November 14, 2019 at 12:00:00 AM",AAPL,195, $65.65 ,"November 22, 2019 at 12:00:00 AM",-0.019044436,-2.438392639
73,MSFT,85, $149.59 ,"November 22, 2019 at 12:00:00 AM",MSFT,85, $147.49 ,"December 03, 2019 at 12:00:00 AM",-1.403831069,-178.4992218
74,QCOM,156, $80.58 ,"December 03, 2019 at 12:00:00 AM",QCOM,156, $85.04 ,"December 10, 2019 at 12:00:00 AM",5.534870915,695.7598572
75,QCOM,158, $84.12 ,"December 10, 2019 at 12:00:00 AM",QCOM,158, $88.91 ,"December 13, 2019 at 12:00:00 AM",5.694247217,756.8201447
76,QCOM,160, $87.83 ,"December 13, 2019 at 12:00:00 AM",QCOM,160, $87.26 ,"January 03, 2020 at 12:00:00 AM",-0.648980625,-91.19995117
77,AAPL,188, $74.36 ,"January 03, 2020 at 12:00:00 AM",AAPL,188, $73.45 ,"January 06, 2020 at 12:00:00 AM",-1.223812064,-171.0792542
78,AAPL,184, $74.95 ,"January 06, 2020 at 12:00:00 AM",AAPL,184, $74.29 ,"January 08, 2020 at 12:00:00 AM",-0.880581801,-121.43927
79,AAPL,180, $75.80 ,"January 08, 2020 at 12:00:00 AM",AAPL,180, $80.06 ,"January 24, 2020 at 12:00:00 AM",5.626833808,767.6998901
