,BUYS,,,,SELLS,,,
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
96,INTC,337,45.56999969,"September 13, 2018 at 12:00:00 AM",INTC,337,46.09000015,"September 19, 2018 at 12:00:00 AM"
97,AAPL,285,54.59249878,"September 19, 2018 at 12:00:00 AM",AAPL,285,55.06000137,"September 20, 2018 at 12:00:00 AM"
98,MCD,97,160.7899933,"September 20, 2018 at 12:00:00 AM",MCD,97,162.7100067,"September 21, 2018 at 12:00:00 AM"
99,MSFT,139,114.2600021,"September 21, 2018 at 12:00:00 AM",MSFT,139,115.3000031,"October 02, 2018 at 12:00:00 AM"
100,AMD,552,29.02000046,"October 02, 2018 at 12:00:00 AM",AMD,552,20.18000031,"November 14, 2018 at 12:00:00 AM"
101,AAPL,238,46.70000076,"November 14, 2018 at 12:00:00 AM",AAPL,238,47.09749985,"November 15, 2018 at 12:00:00 AM"
102,AAPL,232,48.38249969,"November 16, 2018 at 12:00:00 AM",AAPL,232,36.13249969,"January 04, 2019 at 12:00:00 AM"
103,AAPL,227,36.98249817,"January 07, 2019 at 12:00:00 AM",AAPL,227,37.38999939,"January 08, 2019 at 12:00:00 AM"
104,AAPL,221,38.32749939,"January 09, 2019 at 12:00:00 AM",AAPL,221,38.54999924,"January 17, 2019 at 12:00:00 AM"
105,AMD,411,20.77000046,"January 18, 2019 at 12:00:00 AM",AMD,411,20.98999977,"January 25, 2019 at 12:00:00 AM"
106,AMD,394,21.93000031,"January 25, 2019 at 12:00:00 AM",AMD,394,23.02000046,"January 31, 2019 at 12:00:00 AM"
107,AAPL,218,41.61000061,"January 31, 2019 at 12:00:00 AM",AAPL,218,41.85250092,"February 04, 2019 at 12:00:00 AM"
108,QCOM,183,49.68999863,"February 04, 2019 at 12:00:00 AM",QCOM,183,50.93999863,"February 06, 2019 at 12:00:00 AM"
109,QCOM,183,51.09999847,"February 06, 2019 at 12:00:00 AM",QCOM,183,52,"February 13, 2019 at 12:00:00 AM"
110,AAPL,223,42.54499817,"February 13, 2019 at 12:00:00 AM",AAPL,223,42.8125,"February 15, 2019 at 12:00:00 AM"
111,AAPL,224,42.60499954,"February 15, 2019 at 12:00:00 AM",AAPL,224,42.95000076,"February 21, 2019 at 12:00:00 AM"
112,PEP,83,116.0999985,"February 21, 2019 at 12:00:00 AM",PEP,83,117.1699982,"February 25, 2019 at 12:00:00 AM"
113,AAPL,223,43.55749893,"February 25, 2019 at 12:00:00 AM",AAPL,223,43.92250061,"March 04, 2019 at 12:00:00 AM"
114,AAPL,223,43.96250153,"March 04, 2019 at 12:00:00 AM",AAPL,223,45,"March 12, 2019 at 12:00:00 AM"
115,PEP,86,116.5699997,"March 12, 2019 at 12:00:00 AM",PEP,86,117.3600006,"March 19, 2019 at 12:00:00 AM"
116,PEP,85,118.0899963,"March 19, 2019 at 12:00:00 AM",PEP,85,119.5,"March 22, 2019 at 12:00:00 AM"
117,AMD,388,26.37000084,"March 22, 2019 at 12:00:00 AM",AMD,388,26.69000053,"March 26, 2019 at 12:00:00 AM"
118,MSFT,87,117.9100037,"March 26, 2019 at 12:00:00 AM",MSFT,87,118.9499969,"April 01, 2019 at 12:00:00 AM"
119,AAPL,218,47.81000137,"April 01, 2019 at 12:00:00 AM",AAPL,218,48.3125,"April 03, 2019 at 12:00:00 AM"
120,AAPL,216,48.83750153,"April 03, 2019 at 12:00:00 AM",AAPL,216,49.11249924,"April 05, 2019 at 12:00:00 AM"
121,QCOM,183,57.99000168,"April 05, 2019 at 12:00:00 AM",QCOM,183,78.81999969,"April 17, 2019 at 12:00:00 AM"
122,AMD,525,27.48999977,"April 17, 2019 at 12:00:00 AM",AMD,525,28.18000031,"April 23, 2019 at 12:00:00 AM"
123,INTC,251,58.77999878,"April 23, 2019 at 12:00:00 AM",INTC,251,44.75,"June 06, 2019 at 12:00:00 AM"
124,PEP,85,131.9799957,"June 06, 2019 at 12:00:00 AM",PEP,85,132.8399963,"June 07, 2019 at 12:00:00 AM"
125,AAPL,238,47.53749847,"June 07, 2019 at 12:00:00 AM",AAPL,238,47.95249939,"June 10, 2019 at 12:00:00 AM"
126,SNE,230,49.61999893,"June 10, 2019 at 12:00:00 AM",SNE,230,49.88000107,"June 11, 2019 at 12:00:00 AM"
127,T,357,32.18000031,"June 12, 2019 at 12:00:00 AM",T,357,32.43999863,"June 18, 2019 at 12:00:00 AM"
128,TTWO,104,111.0199966,"June 18, 2019 at 12:00:00 AM",TTWO,104,112.0500031,"June 20, 2019 at 12:00:00 AM"
129,PEP,87,134.1600037,"June 20, 2019 at 12:00:00 AM",PEP,87,134.1600037,"June 21, 2019 at 12:00:00 AM"
130,MCD,57,204.2599945,"June 21, 2019 at 12:00:00 AM",MCD,57,205.4900055,"June 26, 2019 at 12:00:00 AM"
131,MCD,57,204.5500031,"June 26, 2019 at 12:00:00 AM",MCD,57,206.8999939,"June 28, 2019 at 12:00:00 AM"
132,MSFT,88,133.9600067,"June 28, 2019 at 12:00:00 AM",MSFT,88,136.6300049,"July 01, 2019 at 12:00:00 AM"
133,INTC,252,48.04999924,"July 01, 2019 at 12:00:00 AM",INTC,252,48.56000137,"July 11, 2019 at 12:00:00 AM"
134,PEP,91,134.3500061,"July 11, 2019 at 12:00:00 AM",PEP,91,132.4499969,"August 23, 2019 at 12:00:00 AM"
135,PEP,92,130.2700043,"August 23, 2019 at 12:00:00 AM",PEP,92,134.1999969,"August 27, 2019 at 12:00:00 AM"
136,AAPL,244,51.04000092,"August 27, 2019 at 12:00:00 AM",AAPL,244,52.125,"August 29, 2019 at 12:00:00 AM"
137,AAPL,243,52.25249863,"August 29, 2019 at 12:00:00 AM",AAPL,243,52.54000092,"August 30, 2019 at 12:00:00 AM"
138,JNJ,99,128.7400055,"September 03, 2019 at 12:00:00 AM",JNJ,99,129.4900055,"September 04, 2019 at 12:00:00 AM"
139,AMD,416,30.95000076,"September 04, 2019 at 12:00:00 AM",AMD,416,31.79000092,"September 05, 2019 at 12:00:00 AM"
140,AAPL,248,53.31999969,"September 05, 2019 at 12:00:00 AM",AAPL,248,53.70999908,"September 09, 2019 at 12:00:00 AM"
141,PEP,97,136.3999939,"September 09, 2019 at 12:00:00 AM",PEP,97,138.4400024,"October 03, 2019 at 12:00:00 AM"
142,AAPL,238,56.75249863,"October 04, 2019 at 12:00:00 AM",AAPL,238,58.23749924,"October 11, 2019 at 12:00:00 AM"
143,AAPL,234,59.05250168,"October 11, 2019 at 12:00:00 AM",AAPL,234,59.38000107,"October 21, 2019 at 12:00:00 AM"
144,T,364,38.22999954,"October 21, 2019 at 12:00:00 AM",T,364,38.49000168,"October 29, 2019 at 12:00:00 AM"
145,PEP,103,136.0800018,"October 29, 2019 at 12:00:00 AM",PEP,103,136.8000031,"October 31, 2019 at 12:00:00 AM"
146,MSFT,98,143.3699951,"October 31, 2019 at 12:00:00 AM",MSFT,98,144.2599945,"November 01, 2019 at 12:00:00 AM"
147,AAPL,222,63.95500183,"November 01, 2019 at 12:00:00 AM",AAPL,222,64.33249664,"November 04, 2019 at 12:00:00 AM"
148,QCOM,167,85.08999634,"November 04, 2019 at 12:00:00 AM",QCOM,167,89.83000183,"November 07, 2019 at 12:00:00 AM"
149,JNJ,114,131.4299927,"November 07, 2019 at 12:00:00 AM",JNJ,114,132.2700043,"November 11, 2019 at 12:00:00 AM"
150,AMD,418,36.31000137,"November 11, 2019 at 12:00:00 AM",AMD,418,36.65000153,"November 13, 2019 at 12:00:00 AM"
151,TXN,129,118.4199982,"November 13, 2019 at 12:00:00 AM",TXN,129,119.0400009,"November 26, 2019 at 12:00:00 AM"
152,AAPL,233,66.07250214,"November 26, 2019 at 12:00:00 AM",AAPL,233,66.65000153,"November 29, 2019 at 12:00:00 AM"
153,AAPL,232,66.8125,"November 29, 2019 at 12:00:00 AM",AAPL,232,67.5,"December 09, 2019 at 12:00:00 AM"
154,MSFT,103,151.3600006,"December 09, 2019 at 12:00:00 AM",MSFT,103,153,"December 13, 2019 at 12:00:00 AM"
155,CSCO,350,45.29999924,"December 13, 2019 at 12:00:00 AM",CSCO,350,45.79999924,"December 16, 2019 at 12:00:00 AM"
156,TMUS,212,75.47000122,"December 16, 2019 at 12:00:00 AM",TMUS,212,76.04000092,"December 19, 2019 at 12:00:00 AM"
157,MSFT,103,155.7100067,"December 19, 2019 at 12:00:00 AM",MSFT,103,157.3500061,"December 20, 2019 at 12:00:00 AM"
