,BUYS,,,,SELLS,,,
61,AAPL,638,20.1010704,"June 05, 2012 at 12:00:00 AM",AAPL,638,20.61750031,"June 07, 2012 at 12:00:00 AM"
62,MSFT,450,29.22999954,"June 07, 2012 at 12:00:00 AM",MSFT,450,29.72999954,"June 11, 2012 at 12:00:00 AM"
63,AAPL,656,20.3989296,"June 11, 2012 at 12:00:00 AM",AAPL,656,20.83571434,"June 19, 2012 at 12:00:00 AM"
64,PEP,197,69.30999756,"June 19, 2012 at 12:00:00 AM",PEP,197,70.33999634,"July 02, 2012 at 12:00:00 AM"
65,AAPL,656,21.16142845,"July 02, 2012 at 12:00:00 AM",AAPL,656,21.44857025,"July 05, 2012 at 12:00:00 AM"
66,MSFT,458,30.70000076,"July 05, 2012 at 12:00:00 AM",MSFT,458,30.70000076,"August 28, 2012 at 12:00:00 AM"
67,INTC,570,24.67000008,"August 29, 2012 at 12:00:00 AM",INTC,570,25.03000069,"September 04, 2012 at 12:00:00 AM"
68,MSFT,469,30.38999939,"September 04, 2012 at 12:00:00 AM",MSFT,469,31.04000092,"September 07, 2012 at 12:00:00 AM"
69,AAPL,600,24.30142975,"September 07, 2012 at 12:00:00 AM",AAPL,600,24.6414299,"September 14, 2012 at 12:00:00 AM"
70,MSFT,473,31.20999908,"September 14, 2012 at 12:00:00 AM",MSFT,473,26.70999908,"November 21, 2012 at 12:00:00 AM"
71,QCOM,203,62.13999939,"November 21, 2012 at 12:00:00 AM",QCOM,203,63.04999924,"November 29, 2012 at 12:00:00 AM"
72,AAPL,610,21.04857063,"November 29, 2012 at 12:00:00 AM",AAPL,610,16.30249977,"February 06, 2013 at 12:00:00 AM"
73,AAPL,609,16.33392906,"February 06, 2013 at 12:00:00 AM",AAPL,609,16.5446434,"February 07, 2013 at 12:00:00 AM"
74,T,285,35.27000046,"February 07, 2013 at 12:00:00 AM",T,285,35.66999817,"February 13, 2013 at 12:00:00 AM"
75,T,287,35.41999817,"February 13, 2013 at 12:00:00 AM",T,287,35.41999817,"February 14, 2013 at 12:00:00 AM"
76,MSFT,363,28.04000092,"February 14, 2013 at 12:00:00 AM",MSFT,363,28.04000092,"February 15, 2013 at 12:00:00 AM"
77,AAPL,620,16.43428612,"February 15, 2013 at 12:00:00 AM",AAPL,620,16.62285614,"March 26, 2013 at 12:00:00 AM"
78,TTWO,643,16.02000046,"March 26, 2013 at 12:00:00 AM",TTWO,643,16.60000038,"May 13, 2013 at 12:00:00 AM"
79,MSFT,323,33.02999878,"May 13, 2013 at 12:00:00 AM",MSFT,323,33.45000076,"May 15, 2013 at 12:00:00 AM"
80,T,288,37.52999878,"May 15, 2013 at 12:00:00 AM",T,288,35.77000046,"July 22, 2013 at 12:00:00 AM"
81,QCOM,165,62.20999908,"July 22, 2013 at 12:00:00 AM",QCOM,165,62.88999939,"July 24, 2013 at 12:00:00 AM"
82,TXN,267,38.93000031,"July 24, 2013 at 12:00:00 AM",TXN,267,39.36000061,"August 01, 2013 at 12:00:00 AM"
83,JNJ,112,93.76999664,"August 01, 2013 at 12:00:00 AM",JNJ,112,86.69999695,"October 07, 2013 at 12:00:00 AM"
84,MSFT,292,33.29999924,"October 07, 2013 at 12:00:00 AM",MSFT,292,33.68000031,"October 11, 2013 at 12:00:00 AM"
85,MSFT,288,34.13000107,"October 11, 2013 at 12:00:00 AM",MSFT,288,34.66999817,"October 15, 2013 at 12:00:00 AM"
86,TTWO,590,16.94000053,"October 15, 2013 at 12:00:00 AM",TTWO,590,17.21999931,"October 18, 2013 at 12:00:00 AM"
87,CSCO,443,22.93000031,"October 21, 2013 at 12:00:00 AM",CSCO,443,23.20999908,"November 06, 2013 at 12:00:00 AM"
88,AMD,3102,3.319999933,"November 06, 2013 at 12:00:00 AM",AMD,3102,3.5,"November 13, 2013 at 12:00:00 AM"
89,AAPL,584,18.59392929,"November 13, 2013 at 12:00:00 AM",AAPL,584,18.80642891,"November 15, 2013 at 12:00:00 AM"
90,JNJ,116,94.38999939,"November 15, 2013 at 12:00:00 AM",JNJ,116,95.45999908,"November 21, 2013 at 12:00:00 AM"
91,MSFT,296,37.40000153,"November 21, 2013 at 12:00:00 AM",MSFT,296,37.93000031,"November 25, 2013 at 12:00:00 AM"
92,PEP,131,85.37000275,"November 25, 2013 at 12:00:00 AM",PEP,131,80.34999847,"February 03, 2014 at 12:00:00 AM"
93,AAPL,592,17.91178513,"February 03, 2014 at 12:00:00 AM",AAPL,592,18.09142876,"February 05, 2014 at 12:00:00 AM"
94,AAPL,585,18.30678558,"February 05, 2014 at 12:00:00 AM",AAPL,585,18.62071419,"February 07, 2014 at 12:00:00 AM"
95,MSFT,298,36.56000137,"February 07, 2014 at 12:00:00 AM",MSFT,298,37.34999847,"February 12, 2014 at 12:00:00 AM"
96,SNE,642,17.31999969,"February 12, 2014 at 12:00:00 AM",SNE,642,17.53000069,"February 28, 2014 at 12:00:00 AM"
97,AAPL,599,18.79428673,"February 28, 2014 at 12:00:00 AM",AAPL,599,19.0282135,"March 06, 2014 at 12:00:00 AM"
98,AMD,3058,3.730000019,"March 06, 2014 at 12:00:00 AM",AMD,3058,4.039999962,"March 10, 2014 at 12:00:00 AM"
99,TTWO,593,20.80999947,"March 10, 2014 at 12:00:00 AM",TTWO,593,21.31999969,"March 13, 2014 at 12:00:00 AM"
100,QCOM,167,75.62999725,"March 13, 2014 at 12:00:00 AM",QCOM,167,77.19000244,"March 18, 2014 at 12:00:00 AM"
101,QCOM,166,77.44999695,"March 18, 2014 at 12:00:00 AM",QCOM,166,79.02999878,"March 21, 2014 at 12:00:00 AM"
102,MSFT,328,40.15999985,"March 21, 2014 at 12:00:00 AM",MSFT,328,40.65999985,"March 25, 2014 at 12:00:00 AM"
103,MSFT,330,40.34000015,"March 25, 2014 at 12:00:00 AM",MSFT,330,41.15000153,"April 01, 2014 at 12:00:00 AM"
104,AMD,3344,4.070000172,"April 01, 2014 at 12:00:00 AM",AMD,3344,4.119999886,"April 02, 2014 at 12:00:00 AM"
105,AAPL,711,19.37678528,"April 02, 2014 at 12:00:00 AM",AAPL,711,20.2932148,"April 24, 2014 at 12:00:00 AM"
106,PEP,168,85.51999664,"April 24, 2014 at 12:00:00 AM",PEP,168,86.93000031,"April 29, 2014 at 12:00:00 AM"
107,MSFT,362,40.50999832,"April 29, 2014 at 12:00:00 AM",MSFT,362,40.95000076,"June 02, 2014 at 12:00:00 AM"
108,QCOM,184,80.48000336,"June 02, 2014 at 12:00:00 AM",QCOM,184,81.88999939,"July 23, 2014 at 12:00:00 AM"
109,AAPL,620,24.29750061,"July 23, 2014 at 12:00:00 AM",AAPL,620,24.83250046,"July 29, 2014 at 12:00:00 AM"
110,JNJ,151,101.9599991,"July 29, 2014 at 12:00:00 AM",JNJ,151,103.3300018,"August 21, 2014 at 12:00:00 AM"
111,INTC,444,35.15000153,"August 21, 2014 at 12:00:00 AM",INTC,444,33.08000183,"October 27, 2014 at 12:00:00 AM"
112,INTC,442,33.20000076,"October 27, 2014 at 12:00:00 AM",INTC,442,33.75999832,"October 29, 2014 at 12:00:00 AM"
113,QCOM,194,76.88999939,"October 29, 2014 at 12:00:00 AM",QCOM,194,78.52999878,"October 31, 2014 at 12:00:00 AM"
114,PEP,158,96.16999817,"October 31, 2014 at 12:00:00 AM",PEP,158,97.51999664,"November 05, 2014 at 12:00:00 AM"
115,PEP,159,96.88999939,"November 05, 2014 at 12:00:00 AM",PEP,159,98.48999786,"November 14, 2014 at 12:00:00 AM"
116,TXN,304,51.63000107,"November 14, 2014 at 12:00:00 AM",TXN,304,52.63999939,"November 21, 2014 at 12:00:00 AM"
117,AAPL,551,29.11750031,"November 21, 2014 at 12:00:00 AM",AAPL,551,29.76749992,"November 25, 2014 at 12:00:00 AM"
118,AAPL,557,29.39999962,"November 25, 2014 at 12:00:00 AM",AAPL,557,29.81749916,"November 28, 2014 at 12:00:00 AM"
119,AAPL,559,29.73250008,"November 28, 2014 at 12:00:00 AM",AAPL,559,30.00499916,"February 05, 2015 at 12:00:00 AM"
120,MSFT,395,42.40999985,"February 06, 2015 at 12:00:00 AM",MSFT,395,43.38000107,"February 13, 2015 at 12:00:00 AM"
121,MSFT,391,43.86999893,"February 13, 2015 at 12:00:00 AM",MSFT,391,42.66999817,"April 22, 2015 at 12:00:00 AM"
122,AAPL,515,32.41749954,"April 23, 2015 at 12:00:00 AM",AAPL,515,33.07749939,"April 27, 2015 at 12:00:00 AM"
123,JNJ,169,100.5800018,"April 27, 2015 at 12:00:00 AM",JNJ,169,101.9800034,"May 15, 2015 at 12:00:00 AM"
124,AAPL,536,32.19250107,"May 15, 2015 at 12:00:00 AM",AAPL,536,32.67250061,"May 19, 2015 at 12:00:00 AM"
125,AAPL,539,32.51750183,"May 19, 2015 at 12:00:00 AM",AAPL,539,32.51750183,"May 21, 2015 at 12:00:00 AM"
126,AAPL,533,32.84749985,"May 21, 2015 at 12:00:00 AM",AAPL,533,33.21250153,"July 21, 2015 at 12:00:00 AM"
127,QCOM,276,64.19000244,"July 22, 2015 at 12:00:00 AM",QCOM,276,53.95000076,"September 25, 2015 at 12:00:00 AM"
128,MSFT,339,43.93999863,"September 25, 2015 at 12:00:00 AM",MSFT,339,44.75,"October 01, 2015 at 12:00:00 AM"
129,AAPL,554,27.39500046,"October 01, 2015 at 12:00:00 AM",AAPL,554,27.93499947,"October 07, 2015 at 12:00:00 AM"
130,AMD,8321,1.860000014,"October 07, 2015 at 12:00:00 AM",AMD,8321,1.919999957,"October 09, 2015 at 12:00:00 AM"
131,MSFT,339,47.11000061,"October 09, 2015 at 12:00:00 AM",MSFT,339,47.91999817,"October 21, 2015 at 12:00:00 AM"
132,QCOM,275,58.97000122,"October 21, 2015 at 12:00:00 AM",QCOM,275,60.63000107,"October 23, 2015 at 12:00:00 AM"
133,AAPL,561,29.77000046,"October 23, 2015 at 12:00:00 AM",AAPL,561,30.24749947,"October 30, 2015 at 12:00:00 AM"
134,PEP,166,102.1900024,"October 30, 2015 at 12:00:00 AM",PEP,166,98.45999908,"January 07, 2016 at 12:00:00 AM"
135,AAPL,678,24.11249924,"January 07, 2016 at 12:00:00 AM",AAPL,678,24.63750076,"January 08, 2016 at 12:00:00 AM"
136,AMD,6993,2.390000105,"January 12, 2016 at 12:00:00 AM",AMD,6993,2.420000076,"March 04, 2016 at 12:00:00 AM"
137,QCOM,317,53.29999924,"March 07, 2016 at 12:00:00 AM",QCOM,317,51.83000183,"May 11, 2016 at 12:00:00 AM"
138,AAPL,711,23.12750053,"May 11, 2016 at 12:00:00 AM",AAPL,711,23.63750076,"May 17, 2016 at 12:00:00 AM"
139,MSFT,333,50.50999832,"May 17, 2016 at 12:00:00 AM",MSFT,333,51.91999817,"May 25, 2016 at 12:00:00 AM"
140,MSFT,331,52.11999893,"May 25, 2016 at 12:00:00 AM",MSFT,331,52.93999863,"July 12, 2016 at 12:00:00 AM"
141,JNJ,142,122.9199982,"July 12, 2016 at 12:00:00 AM",JNJ,142,124.7799988,"July 19, 2016 at 12:00:00 AM"
142,AAPL,713,24.96750069,"July 19, 2016 at 12:00:00 AM",AAPL,713,26.06749916,"July 27, 2016 at 12:00:00 AM"
143,QCOM,297,62.50999832,"July 27, 2016 at 12:00:00 AM",QCOM,297,63.52999878,"September 02, 2016 at 12:00:00 AM"
144,MSFT,327,57.66999817,"September 02, 2016 at 12:00:00 AM",MSFT,327,60.27999878,"October 21, 2016 at 12:00:00 AM"
145,AAPL,678,29.14999962,"October 21, 2016 at 12:00:00 AM",AAPL,678,29.48749924,"October 25, 2016 at 12:00:00 AM"
146,AAPL,676,29.5625,"October 25, 2016 at 12:00:00 AM",AAPL,676,29.16250038,"December 30, 2016 at 12:00:00 AM"
147,AAPL,681,28.95499992,"December 30, 2016 at 12:00:00 AM",AAPL,681,29.48749924,"January 09, 2017 at 12:00:00 AM"
148,AMD,1748,11.48999977,"January 09, 2017 at 12:00:00 AM",AMD,1748,11.97999954,"February 02, 2017 at 12:00:00 AM"
149,AMD,1705,12.27999973,"February 02, 2017 at 12:00:00 AM",AMD,1705,12.46000004,"February 06, 2017 at 12:00:00 AM"
150,MSFT,333,63.63999939,"February 06, 2017 at 12:00:00 AM",MSFT,333,64.41000366,"February 14, 2017 at 12:00:00 AM"
151,AAPL,637,33.75500107,"February 14, 2017 at 12:00:00 AM",AAPL,637,34.10749817,"February 22, 2017 at 12:00:00 AM"
152,MSFT,336,64.62000275,"February 23, 2017 at 12:00:00 AM",MSFT,336,65.36000061,"March 24, 2017 at 12:00:00 AM"
153,T,527,41.68000031,"March 24, 2017 at 12:00:00 AM",T,527,38.65000153,"May 31, 2017 at 12:00:00 AM"
154,AAPL,533,38.18999863,"May 31, 2017 at 12:00:00 AM",AAPL,533,38.58499908,"June 05, 2017 at 12:00:00 AM"
155,MSFT,284,72.27999878,"June 05, 2017 at 12:00:00 AM",MSFT,284,73.08999634,"July 18, 2017 at 12:00:00 AM"
156,AMD,1536,13.55000019,"July 19, 2017 at 12:00:00 AM",AMD,1536,13.69999981,"July 21, 2017 at 12:00:00 AM"
157,AMD,1516,13.88000011,"July 21, 2017 at 12:00:00 AM",AMD,1516,14.28999996,"July 25, 2017 at 12:00:00 AM"
158,QCOM,407,53.13999939,"July 26, 2017 at 12:00:00 AM",QCOM,407,54.06000137,"August 16, 2017 at 12:00:00 AM"
159,TMUS,343,64.27999878,"August 16, 2017 at 12:00:00 AM",TMUS,343,65.31999969,"September 20, 2017 at 12:00:00 AM"
160,MSFT,298,74.94000244,"September 20, 2017 at 12:00:00 AM",MSFT,298,75.97000122,"October 09, 2017 at 12:00:00 AM"
161,AMD,1686,13.47000027,"October 09, 2017 at 12:00:00 AM",AMD,1686,13.72000027,"October 10, 2017 at 12:00:00 AM"
162,PEP,207,111.5100021,"October 11, 2017 at 12:00:00 AM",PEP,207,111.5100021,"October 12, 2017 at 12:00:00 AM"
163,AAPL,593,39,"October 12, 2017 at 12:00:00 AM",AAPL,593,39.47499847,"October 16, 2017 at 12:00:00 AM"
164,AAPL,585,39.97000122,"October 16, 2017 at 12:00:00 AM",AAPL,585,40.97249985,"October 30, 2017 at 12:00:00 AM"
165,QCOM,439,54.65999985,"October 30, 2017 at 12:00:00 AM",QCOM,439,64.54000092,"November 06, 2017 at 12:00:00 AM"
166,AMD,2375,11.93000031,"November 06, 2017 at 12:00:00 AM",AMD,2375,12.10000038,"January 04, 2018 at 12:00:00 AM"
167,MSFT,329,87.11000061,"January 04, 2018 at 12:00:00 AM",MSFT,329,88.19999695,"January 08, 2018 at 12:00:00 AM"
168,QCOM,439,66.26999664,"January 08, 2018 at 12:00:00 AM",QCOM,439,68.51999664,"January 17, 2018 at 12:00:00 AM"
169,QCOM,442,68.01999664,"January 17, 2018 at 12:00:00 AM",QCOM,442,55.63000107,"March 23, 2018 at 12:00:00 AM"
170,AAPL,584,42.08499908,"March 27, 2018 at 12:00:00 AM",AAPL,584,43.14500046,"April 05, 2018 at 12:00:00 AM"
171,AMD,2518,10.02000046,"April 05, 2018 at 12:00:00 AM",AMD,2518,10.19999981,"April 13, 2018 at 12:00:00 AM"
172,MSFT,275,93.08000183,"April 13, 2018 at 12:00:00 AM",MSFT,275,94.06999969,"April 16, 2018 at 12:00:00 AM"
173,PEP,236,109.9199982,"April 16, 2018 at 12:00:00 AM",PEP,236,105.7300034,"June 20, 2018 at 12:00:00 AM"
174,QCOM,424,58.79000092,"June 20, 2018 at 12:00:00 AM",QCOM,424,63.04999924,"July 26, 2018 at 12:00:00 AM"
175,MSFT,244,109.6200027,"July 26, 2018 at 12:00:00 AM",MSFT,244,111.6699982,"August 30, 2018 at 12:00:00 AM"
176,AMD,1095,24.88999939,"August 30, 2018 at 12:00:00 AM",AMD,1095,24.88999939,"August 31, 2018 at 12:00:00 AM"
177,QCOM,389,69.98000336,"September 04, 2018 at 12:00:00 AM",QCOM,389,70.84999847,"September 06, 2018 at 12:00:00 AM"
178,PEP,243,113.5,"September 06, 2018 at 12:00:00 AM",PEP,243,114.8899994,"September 14, 2018 at 12:00:00 AM"
179,AAPL,499,55.95999908,"September 14, 2018 at 12:00:00 AM",AAPL,499,56.98749924,"October 01, 2018 at 12:00:00 AM"
180,MSFT,246,115.6100006,"October 01, 2018 at 12:00:00 AM",MSFT,246,105.8199997,"December 06, 2018 at 12:00:00 AM"
181,AAPL,618,42.12250137,"December 07, 2018 at 12:00:00 AM",AAPL,618,42.91500092,"December 11, 2018 at 12:00:00 AM"
182,AAPL,629,42.15750122,"December 11, 2018 at 12:00:00 AM",AAPL,629,42.59999847,"December 12, 2018 at 12:00:00 AM"
183,PEP,229,117,"December 12, 2018 at 12:00:00 AM",PEP,229,115.75,"February 20, 2019 at 12:00:00 AM"
184,AAPL,617,43.00749969,"February 20, 2019 at 12:00:00 AM",AAPL,617,43.54000092,"February 25, 2019 at 12:00:00 AM"
185,AAPL,616,43.55749893,"February 25, 2019 at 12:00:00 AM",AAPL,616,45,"March 12, 2019 at 12:00:00 AM"
186,PEP,238,116.5699997,"March 12, 2019 at 12:00:00 AM",PEP,238,118.0699997,"March 20, 2019 at 12:00:00 AM"
187,AMD,1093,25.70000076,"March 20, 2019 at 12:00:00 AM",AMD,1093,27.54000092,"March 22, 2019 at 12:00:00 AM"
188,AMD,1142,26.37000084,"March 22, 2019 at 12:00:00 AM",AMD,1142,26.69000053,"March 26, 2019 at 12:00:00 AM"
189,MSFT,258,117.9100037,"March 26, 2019 at 12:00:00 AM",MSFT,258,119.8600006,"April 03, 2019 at 12:00:00 AM"
190,AAPL,634,48.83750153,"April 03, 2019 at 12:00:00 AM",AAPL,634,50.08000183,"April 09, 2019 at 12:00:00 AM"
191,INTC,574,55.31999969,"April 09, 2019 at 12:00:00 AM",INTC,574,55.31999969,"April 10, 2019 at 12:00:00 AM"
192,MCD,167,189.2200012,"April 10, 2019 at 12:00:00 AM",MCD,167,191.7700043,"April 15, 2019 at 12:00:00 AM"
193,MSFT,266,121.0500031,"April 15, 2019 at 12:00:00 AM",MSFT,266,122.6200027,"April 22, 2019 at 12:00:00 AM"
194,AMD,1157,28.18000031,"April 22, 2019 at 12:00:00 AM",AMD,1157,28.18000031,"April 23, 2019 at 12:00:00 AM"
195,INTC,555,58.77999878,"April 23, 2019 at 12:00:00 AM",INTC,555,48.15000153,"June 27, 2019 at 12:00:00 AM"
196,AAPL,535,49.93500137,"June 27, 2019 at 12:00:00 AM",AAPL,535,50.79249954,"July 01, 2019 at 12:00:00 AM"
197,INTC,565,48.04999924,"July 01, 2019 at 12:00:00 AM",INTC,565,48.56000137,"July 11, 2019 at 12:00:00 AM"
198,PEP,204,134.3500061,"July 11, 2019 at 12:00:00 AM",PEP,204,136.1100006,"August 30, 2019 at 12:00:00 AM"
199,JNJ,216,128.7400055,"September 03, 2019 at 12:00:00 AM",JNJ,216,131.3600006,"September 12, 2019 at 12:00:00 AM"
200,MSFT,206,137.5200043,"September 12, 2019 at 12:00:00 AM",MSFT,206,140.3000031,"September 19, 2019 at 12:00:00 AM"
201,PEP,215,134.7100067,"September 20, 2019 at 12:00:00 AM",PEP,215,136.25,"September 24, 2019 at 12:00:00 AM"
202,QCOM,389,75.23000336,"September 24, 2019 at 12:00:00 AM",QCOM,389,77.16000366,"September 26, 2019 at 12:00:00 AM"
