,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
72,AAPL,2107,5.639999866485596,"October 03, 2007 at 12:00:00 AM",AAPL,2107.0,5.838929176330566,"October 08, 2007 at 12:00:00 AM"
73,AAPL,2052,5.996786117553711,"October 08, 2007 at 12:00:00 AM",AAPL,2052.0,6.07857084274292,"October 09, 2007 at 12:00:00 AM"
74,AAPL,2080,5.994999885559082,"October 09, 2007 at 12:00:00 AM",AAPL,2080.0,6.053214073181152,"October 11, 2007 at 12:00:00 AM"
75,QCOM,303,41.470001220703125,"October 11, 2007 at 12:00:00 AM",QCOM,303.0,41.689998626708984,"October 12, 2007 at 12:00:00 AM"
76,JNJ,192,65.94000244140625,"October 12, 2007 at 12:00:00 AM",JNJ,192.0,66.37000274658203,"November 12, 2007 at 12:00:00 AM"
77,JNJ,192,66.30999755859375,"November 12, 2007 at 12:00:00 AM",JNJ,192.0,66.7300033569336,"November 13, 2007 at 12:00:00 AM"
78,PEP,173,74.05999755859375,"November 14, 2007 at 12:00:00 AM",PEP,173.0,75.0,"November 20, 2007 at 12:00:00 AM"
79,JNJ,192,67.63999938964844,"November 20, 2007 at 12:00:00 AM",JNJ,192.0,67.98999786376953,"November 29, 2007 at 12:00:00 AM"
80,MSFT,388,33.59000015258789,"November 29, 2007 at 12:00:00 AM",MSFT,388.0,33.91999816894531,"November 30, 2007 at 12:00:00 AM"
81,JNJ,194,67.73999786376953,"November 30, 2007 at 12:00:00 AM",JNJ,194.0,68.19000244140625,"December 06, 2007 at 12:00:00 AM"
82,JNJ,194,68.30000305175781,"December 06, 2007 at 12:00:00 AM",JNJ,194.0,62.59000015258789,"February 13, 2008 at 12:00:00 AM"
83,JNJ,191,63.40999984741211,"February 13, 2008 at 12:00:00 AM",JNJ,191.0,64.73999786376953,"March 18, 2008 at 12:00:00 AM"
84,JNJ,190,65.30999755859375,"March 18, 2008 at 12:00:00 AM",JNJ,190.0,65.8499984741211,"April 02, 2008 at 12:00:00 AM"
85,PEP,175,71.41999816894531,"April 02, 2008 at 12:00:00 AM",PEP,175.0,71.91000366210938,"April 07, 2008 at 12:00:00 AM"
86,AAPL,2264,5.567500114440918,"April 07, 2008 at 12:00:00 AM",AAPL,2264.0,5.682857036590576,"April 18, 2008 at 12:00:00 AM"
87,MSFT,428,30.0,"April 18, 2008 at 12:00:00 AM",MSFT,428.0,30.190000534057617,"April 21, 2008 at 12:00:00 AM"
88,JNJ,195,66.31999969482422,"April 21, 2008 at 12:00:00 AM",JNJ,195.0,67.12000274658203,"April 23, 2008 at 12:00:00 AM"
89,AAPL,2252,5.817500114440918,"April 23, 2008 at 12:00:00 AM",AAPL,2252.0,5.90500020980835,"April 24, 2008 at 12:00:00 AM"
90,AAPL,2204,6.033570766448975,"April 24, 2008 at 12:00:00 AM",AAPL,2204.0,6.096428871154785,"April 25, 2008 at 12:00:00 AM"
91,AAPL,2217,6.06178617477417,"April 25, 2008 at 12:00:00 AM",AAPL,2217.0,6.1110711097717285,"April 29, 2008 at 12:00:00 AM"
92,AAPL,2167,6.251786231994629,"April 29, 2008 at 12:00:00 AM",AAPL,2167.0,6.292500019073486,"April 30, 2008 at 12:00:00 AM"
93,AAPL,2195,6.212500095367432,"April 30, 2008 at 12:00:00 AM",AAPL,2195.0,6.248570919036865,"May 01, 2008 at 12:00:00 AM"
94,AAPL,2133,6.4285712242126465,"May 01, 2008 at 12:00:00 AM",AAPL,2133.0,6.497142791748047,"May 05, 2008 at 12:00:00 AM"
95,AAPL,2101,6.597499847412109,"May 05, 2008 at 12:00:00 AM",AAPL,2101.0,6.6446428298950195,"May 07, 2008 at 12:00:00 AM"
96,AAPL,2141,6.521070957183838,"May 07, 2008 at 12:00:00 AM",AAPL,2141.0,6.56321382522583,"May 08, 2008 at 12:00:00 AM"
97,AAPL,2126,6.609285831451416,"May 08, 2008 at 12:00:00 AM",AAPL,2126.0,6.7360711097717285,"May 13, 2008 at 12:00:00 AM"
98,JNJ,215,66.41000366210938,"May 13, 2008 at 12:00:00 AM",JNJ,215.0,66.9800033569336,"May 15, 2008 at 12:00:00 AM"
99,JNJ,216,66.68000030517578,"May 15, 2008 at 12:00:00 AM",JNJ,216.0,67.0999984741211,"July 15, 2008 at 12:00:00 AM"
100,JNJ,214,67.69999694824219,"July 15, 2008 at 12:00:00 AM",JNJ,214.0,68.44000244140625,"July 17, 2008 at 12:00:00 AM"
101,QCOM,322,45.560001373291016,"July 17, 2008 at 12:00:00 AM",QCOM,322.0,53.5,"July 24, 2008 at 12:00:00 AM"
102,AAPL,3037,5.679643154144287,"July 24, 2008 at 12:00:00 AM",AAPL,3037.0,5.728570938110352,"July 25, 2008 at 12:00:00 AM"
103,PEP,258,67.22000122070312,"July 25, 2008 at 12:00:00 AM",PEP,258.0,67.9800033569336,"August 05, 2008 at 12:00:00 AM"
104,INTC,764,23.020000457763672,"August 05, 2008 at 12:00:00 AM",INTC,764.0,23.739999771118164,"August 08, 2008 at 12:00:00 AM"
105,AAPL,2996,6.055356979370117,"August 08, 2008 at 12:00:00 AM",AAPL,2996.0,6.197143077850342,"August 12, 2008 at 12:00:00 AM"
106,AAPL,2942,6.31178617477417,"August 12, 2008 at 12:00:00 AM",AAPL,2942.0,6.356429100036621,"August 13, 2008 at 12:00:00 AM"
107,AAPL,2920,6.403571128845215,"August 13, 2008 at 12:00:00 AM",AAPL,2920.0,3.557142972946167,"October 17, 2008 at 12:00:00 AM"
108,AAPL,2986,3.4785709381103516,"October 17, 2008 at 12:00:00 AM",AAPL,2986.0,3.563570976257324,"October 20, 2008 at 12:00:00 AM"
109,MSFT,455,23.360000610351562,"October 21, 2008 at 12:00:00 AM",MSFT,455.0,23.690000534057617,"October 30, 2008 at 12:00:00 AM"
110,QCOM,282,38.2599983215332,"October 31, 2008 at 12:00:00 AM",QCOM,282.0,35.369998931884766,"January 08, 2009 at 12:00:00 AM"
111,AAPL,3014,3.31071400642395,"January 08, 2009 at 12:00:00 AM",AAPL,3014.0,3.3289289474487305,"January 09, 2009 at 12:00:00 AM"
112,AAPL,3101,3.234999895095825,"January 09, 2009 at 12:00:00 AM",AAPL,3101.0,3.2899999618530273,"January 28, 2009 at 12:00:00 AM"
113,TMUS,362,28.15999984741211,"January 28, 2009 at 12:00:00 AM",TMUS,362.0,29.0,"February 04, 2009 at 12:00:00 AM"
114,AAPL,3145,3.3410708904266357,"February 04, 2009 at 12:00:00 AM",AAPL,3145.0,3.4649999141693115,"February 06, 2009 at 12:00:00 AM"
115,MSFT,554,19.65999984741211,"February 06, 2009 at 12:00:00 AM",MSFT,554.0,19.209999084472656,"April 15, 2009 at 12:00:00 AM"
116,AAPL,2534,4.2014288902282715,"April 15, 2009 at 12:00:00 AM",AAPL,2534.0,4.256785869598389,"April 16, 2009 at 12:00:00 AM"
117,AAPL,2487,4.337500095367432,"April 16, 2009 at 12:00:00 AM",AAPL,2487.0,4.379642963409424,"April 22, 2009 at 12:00:00 AM"
118,AAPL,2510,4.3396430015563965,"April 22, 2009 at 12:00:00 AM",AAPL,2510.0,4.5221428871154785,"April 23, 2009 at 12:00:00 AM"
119,QCOM,278,40.72999954223633,"April 23, 2009 at 12:00:00 AM",QCOM,278.0,42.349998474121094,"April 27, 2009 at 12:00:00 AM"
120,QCOM,273,43.16999816894531,"April 27, 2009 at 12:00:00 AM",QCOM,273.0,43.47999954223633,"May 05, 2009 at 12:00:00 AM"
121,AAPL,2507,4.739643096923828,"May 05, 2009 at 12:00:00 AM",AAPL,2507.0,4.76607084274292,"May 28, 2009 at 12:00:00 AM"
122,AAPL,2477,4.8239288330078125,"May 28, 2009 at 12:00:00 AM",AAPL,2477.0,4.873929023742676,"June 01, 2009 at 12:00:00 AM"
123,AAPL,2426,4.976786136627197,"June 01, 2009 at 12:00:00 AM",AAPL,2426.0,5.004642963409424,"June 04, 2009 at 12:00:00 AM"
124,AAPL,2365,5.133571147918701,"June 04, 2009 at 12:00:00 AM",AAPL,2365.0,5.189642906188965,"June 05, 2009 at 12:00:00 AM"
125,AAPL,2376,5.166786193847656,"June 05, 2009 at 12:00:00 AM",AAPL,2376.0,5.205714225769043,"July 16, 2009 at 12:00:00 AM"
126,QCOM,264,46.720001220703125,"July 16, 2009 at 12:00:00 AM",QCOM,264.0,47.470001220703125,"July 20, 2009 at 12:00:00 AM"
127,AAPL,2301,5.461071014404297,"July 20, 2009 at 12:00:00 AM",AAPL,2301.0,5.635356903076172,"July 22, 2009 at 12:00:00 AM"
128,AAPL,2316,5.5978569984436035,"July 22, 2009 at 12:00:00 AM",AAPL,2316.0,5.7203569412231445,"July 27, 2009 at 12:00:00 AM"
129,AAPL,2317,5.7178568840026855,"July 27, 2009 at 12:00:00 AM",AAPL,2317.0,5.775000095367432,"July 30, 2009 at 12:00:00 AM"
130,AAPL,2302,5.813929080963135,"July 30, 2009 at 12:00:00 AM",AAPL,2302.0,5.900356769561768,"August 03, 2009 at 12:00:00 AM"
131,AAPL,2285,5.943929195404053,"August 03, 2009 at 12:00:00 AM",AAPL,2285.0,5.997857093811035,"August 14, 2009 at 12:00:00 AM"
132,AMD,3714,3.690000057220459,"August 14, 2009 at 12:00:00 AM",AMD,3714.0,3.930000066757202,"August 24, 2009 at 12:00:00 AM"
133,JNJ,238,61.279998779296875,"August 24, 2009 at 12:00:00 AM",JNJ,238.0,61.279998779296875,"September 29, 2009 at 12:00:00 AM"
134,QCOM,320,45.5,"September 29, 2009 at 12:00:00 AM",QCOM,320.0,45.900001525878906,"November 16, 2009 at 12:00:00 AM"
135,AAPL,1995,7.379642963409424,"November 16, 2009 at 12:00:00 AM",AAPL,1995.0,7.561429023742676,"December 28, 2009 at 12:00:00 AM"
136,MSFT,484,31.170000076293945,"December 28, 2009 at 12:00:00 AM",MSFT,484.0,31.350000381469727,"December 29, 2009 at 12:00:00 AM"
137,AAPL,2032,7.4678568840026855,"December 29, 2009 at 12:00:00 AM",,,,
