,,,,,,,,Death Cross Shooting Star & Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
15,,MCD,43.63999938964844,44.099998474121094,173.0,0.45999908447265625,1.0540767435981442,,,,,,,,,,,,,,
16,,SNE,52.880001068115234,53.220001220703125,144.0,0.3400001525878906,0.6429654798038548,,,,,,,,,,,,,,
17,,AAPL,3.3399999141693115,3.356786012649536,2302.0,0.01678609848022461,0.5025778117242696,,,,,,,,,,,,,,
18,,QCOM,42.41999816894531,42.79999923706055,182.0,0.3800010681152344,0.8958064227202732,,,,,,,,,,,,,,
19,,QCOM,42.25,42.68000030517578,184.0,0.43000030517578125,1.0177522015994822,,,,,,,,,,,,,,
20,,MSFT,27.739999771118164,28.010000228881836,283.0,0.2700004577636719,0.973325378483911,,,,,,,,,,,,,,
21,,AMD,12.710000038146973,13.399999618530273,625.0,0.6899995803833008,5.4287929056835615,,,,,,,,,,,,,,
22,,QCOM,42.68000030517578,42.90999984741211,196.0,0.22999954223632812,0.5388930191934329,,,,,,,,,,,,,,
23,,QCOM,42.099998474121094,42.5099983215332,200.0,0.4099998474121094,0.9738714068223462,,,,,,,,,,,,,,
24,,AAPL,3.2228569984436035,3.2857139110565186,2640.0,0.06285691261291504,1.9503475532197108,,,,,,,,,,,,,,
25,,MSFT,28.850000381469727,29.09000015258789,300.0,0.23999977111816406,0.8318882771048947,,,,,,,,,,,,,,
26,,AAPL,3.5299999713897705,3.5746428966522217,2478.0,0.04464292526245117,1.2646721140021748,,,,,,,,,,,,,,
27,,AAPL,3.56428599357605,3.5975000858306885,2485.0,0.03321409225463867,0.9318582267107852,,,,,,,,,,,,,,
28,,AAPL,3.585714101791382,3.609999895095825,2493.0,0.02428579330444336,0.6772930751035185,,,,,,,,,,,,,,
29,,AAPL,3.7114291191101074,3.746786117553711,2425.0,0.035356998443603516,0.9526518575163061,,,,,,,,,,,,,,
30,,AAPL,3.817142963409424,3.8478569984436035,2380.0,0.030714035034179688,0.8046341289440807,,,,,,,,,,,,,,
31,,AAPL,3.883570909500122,3.9149999618530273,2358.0,0.03142905235290527,0.809282309639885,,,,,,,,,,,,,,
32,,QCOM,44.25,44.529998779296875,208.0,0.279998779296875,0.632765602930791,,,,,,,,,,,,,,
