Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,461202103,INTU ,"3,359,033","1,280,732,102.24",0.865,Intuit Inc,Common Stock,Information Technology,3/19/2021
QQQ,595112103,MU ,"13,722,101","1,241,987,361.51",0.839,Micron Technology Inc,Common Stock,Information Technology,3/19/2021
QQQ,7903107,AMD ,"14,858,648","1,174,724,710.88",0.794,Advanced Micro Devices Inc,Common Stock,Information Technology,3/19/2021
QQQ,09857L108,BKNG ,"502,467","1,149,513,854.58",0.777,Booking Holdings Inc,Common Stock,Consumer Discretionary,3/19/2021
QQQ,46120E602,ISRG ,"1,443,983","1,021,603,532.67",0.69,Intuitive Surgical Inc,Common Stock,Health Care,3/19/2021
QQQ,609207105,MDLZ ,"17,321,620","1,006,386,122.00",0.68,Mondelez International Inc,Common Stock,Consumer Staples,3/19/2021
QQQ,337738108,FISV ,"8,211,887","1,000,782,668.69",0.676,Fiserv Inc,Common Stock,Information Technology,3/19/2021
QQQ,375558103,GILD ,"15,413,921","993,581,347.66",0.671,Gilead Sciences Inc,Common Stock,Health Care,3/19/2021
QQQ,53015103,ADP ,"5,249,308","965,505,220.44",0.652,Automatic Data Processing Inc,Common Stock,Information Technology,3/19/2021
QQQ,512807108,LRCX ,"1,752,961","950,648,279.91",0.642,Lam Research Corp,Common Stock,Information Technology,3/19/2021
QQQ,58733R102,MELI ,"611,714","886,306,297.46",0.599,MercadoLibre Inc,Common Stock,Consumer Discretionary,3/19/2021
QQQ,47215P106,JD ,"10,189,485","866,004,330.15",0.585,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,3/19/2021
QQQ,00507V109,ATVI ,"9,503,462","859,968,276.38",0.581,Activision Blizzard Inc,Common Stock,Communication Services,3/19/2021
QQQ,56752108,BIDU ,"3,328,685","857,036,526.95",0.579,Baidu Inc ADR,American Depository Receipt,Communication Services,3/19/2021
QQQ,126408103,CSX ,"9,353,216","848,991,416.32",0.574,CSX Corp,Common Stock,Industrials,3/19/2021
QQQ,98980L101,ZM ,"2,500,665","815,866,962.90",0.551,Zoom Video Communications Inc,Common Stock,Information Technology,3/19/2021
QQQ,452327109,ILMN ,"1,789,653","744,316,682.70",0.503,Illumina Inc,Common Stock,Health Care,3/19/2021
QQQ,52769106,ADSK ,"2,697,247","705,330,090.50",0.477,Autodesk Inc,Common Stock,Information Technology,3/19/2021
QQQ,60770K107,MRNA ,"4,903,723","704,861,144.02",0.476,Moderna Inc,Common Stock,Health Care,3/19/2021
QQQ,92532F100,VRTX ,"3,188,775","689,126,165.25",0.466,Vertex Pharmaceuticals Inc,Common Stock,Health Care,3/19/2021
QQQ,32654105,ADI ,"4,525,032","687,397,611.12",0.464,Analog Devices Inc,Common Stock,Information Technology,3/19/2021
QQQ,N6596X109,NXPI ,"3,397,903","686,512,322.12",0.464,NXP Semiconductors NV,Common Stock,Information Technology,3/19/2021
